Members Expense Disclosure - January to March 2019,,,,,,,,
,,,,,,,,,
Party,Member,Accommodation,,Travel,,,Grand Total,Inter-Parliamentary
,,Wellington,Non Wellington,Air,Surface,VIP Transport,,Office of the Clerk
,,,,,,,,,
,"Falloon, Andrew ","7,134","2,394","6,289","7,044",                          -,"22,861",                          -
,"Finlayson, Chris ",                          -,                          -,426,810,                          -,"1,236",                          -
,"Goldsmith, Paul ","7,134",317,"7,725","3,516",                          -,"18,692",                          -
,"Guy, Nathan ","7,134",510,"4,711","1,701",                          -,"14,057",                          -
,"Hayes, Joanne ","7,134","1,574","7,663","5,171",                          -,"21,543",                          -
,"Hipango, Harete ","1,696",553,"3,583","6,420",                          -,"12,252",                          -
,"Hudson, Brett ",                          -,659,"1,164","2,485",                          -,"4,308",                          -
,"Kaye, Nikki ","7,134",861,"5,415","8,584",                          -,"21,994",                          -
,"King, Matt ","7,134",485,"4,598","2,276",                          -,"14,494",                          -
,"Korako, Nuk ","7,134","1,051","9,829","3,772",                          -,"21,786",                          -
,"Kuriger, Barbara ","4,994",466,"4,018","6,016",                          -,"15,494",                          -
,"Lee, Denise ","2,756",383,"3,423","2,024",                          -,"8,585",                          -
,"Lee, Melissa ","7,134",464,"4,536","3,702",                          -,"15,835",                          -
,"Loheni, Agnes ","1,848",157,"5,024","3,609",                          -,"10,638",                          -
,"Macindoe, Tim ","1,837",                          -,"8,351","1,898",                          -,"12,086",                          -
,"McClay, Todd ","7,134",751,"6,885","7,663",                          -,"22,433",                          -
,"McKelvie, Ian ","7,134",157,"3,754","4,429",                          -,"15,474",                          -
,"Mitchell, Mark ","7,134",313,"4,910","5,016",                          -,"17,373",                          -
,"Muller, Todd ","4,994",239,"7,084","2,676",                          -,"14,993",                          -
,"Ngaro, Alfred ","7,134",313,"7,472","6,871",                          -,"21,791",                          -
,"O'Connor, Simon ","7,134",                          -,"3,614","1,313",                          -,"12,062","11,345"
,"Parmar, Parmjeet ","7,134",157,"3,171","2,351",                          -,"12,813",                          -
,"Pugh, Maureen ","7,134","1,271","6,960","2,971",                          -,"18,336",                          -
,"Penk, Chris ","7,134",157,"2,639",534,                          -,"10,463",                          -
,"Reti, Shane ","5,622","1,210","12,207","6,430",                          -,"25,469",                          -
,"Carter, David ","7,134",313,"5,683","2,839",                          -,"15,969",                          -
,"Scott, Alastair ",                          -,371,"3,251","1,215",                          -,"4,837",                          -
,"Smith, Stuart ","7,134","1,106","7,342","5,874",                          -,"21,457",                          -
,"Smith, Nick ","7,134",624,"11,368","1,601",                          -,"20,728",                          -
,"Simpson, Scott ","2,410","1,163","3,556","7,177",                          -,"14,306",                          -
,"Stanford, Erica ","7,134",185,"4,277","5,110",                          -,"16,707",                          -
,"Tolley, Anne (2) (4) ","10,356",157,"4,347",359,"2,584","17,803",                          -
,"Upston, Louise ","7,134",543,"5,839","5,782",                          -,"19,298",                          -
,"Wagner, Nicky ","7,134",471,"5,262",851,                          -,"13,718",                          -
,"van de Molen, Tim ","7,134",146,"4,995","3,423",                          -,"15,697",20
,"Walker, Hamish ","7,134","4,412","5,528","8,370",                          -,"25,444",                          -
,"Willis, Nicola ",                          -,691,"5,273","3,853",                          -,"9,817",                          -
,"Woodhouse, Michael ","7,134",494,"9,174","2,849",                          -,"19,651",                          -
,"Young, Jonathan ","7,134",988,"7,429","2,922",                          -,"18,474","8,703"
,"Yang, Jian ","1,654",313,"2,771","3,963",                          -,"8,702",                          -
,"Yule, Lawrence ","1,107",313,"6,469","5,276",                          -,"13,165",                          -
National Total,,"318,426","36,348","322,268","226,896","10,295","914,232","29,580"
,,,,,,,,,
