Members Expense Disclosure - July to September 2018,,,,,,,,
,,,,,,,,,
Party,Member,Accommodation,,Travel,,VIP,Grand Total,Inter-Parliamentary
,,Wellington,Non Wellington,Air,Surface,Transport,,Office of the Clerk
,,,,,,,,,
,"Kuriger, Barbara","4,994",700,"8,552","6,032", - ,"20,277", - 
,"Lee, 
Denise","2,115", - ,"7,202","1,578", - ,"10,896","2,477"
,"Lee, 
Melissa","7,134",919,"7,416","6,902", - ,"22,371", - 
,"Macindoe, 
Tim","4,441",965,"5,109","2,854", - ,"13,369", - 
,"McClay, 
Todd","7,134",12,"7,605","4,870", - ,"19,621", - 
,"McKelvie, 
Ian","7,134","1,894","7,418","6,329", - ,"22,776", - 
,"Mitchell, 
Mark","7,134", - ,"9,176","7,318", - ,"23,629", - 
,"Muller, 
Todd","4,238","1,765","12,449","4,559", - ,"23,011","15,140"
,"Ngaro, 
Alfred","7,134", - ,"7,070","6,794", - ,"20,998","1,304"
,"O'Connor, 
Simon","7,134", - ,"3,850","2,720", - ,"13,704", - 
,"Parmar, Parmjeet","7,134", - ,"6,025","8,988", - ,"22,147", - 
,"Pugh, 
Maureen","1,924","1,112","6,119","1,573", - ,"10,729","1,107"
,"Penk, 
Chris","7,134", - ,"4,808","1,518", - ,"13,461", - 
,"Reti, 
Shane","7,134",714,"5,283","4,572", - ,"17,703", - 
,"Carter, 
David","7,134",713,"7,216","4,982", - ,"20,045", - 
,"Ross, 
Jami-Lee (3)","6,242", - ,"7,588","7,092", - ,"20,923", - 
,"Scott, 
Alastair", - ,517,"2,528","4,583", - ,"7,629", - 
,"Smith, 
Stuart","5,213",786,"5,681","6,828", - ,"18,508", - 
,"Smith, 
Nick","7,134",196,"9,562",950, - ,"17,842", - 
,"Simpson, 
Scott","4,849","2,111","8,856","3,340", - ,"19,156","14,036"
,"Stanford, 
Erica","7,134", - ,"7,908",904, - ,"15,946", - 
,"Tolley, 
Anne (1)","10,356",699,"10,150","1,494","2,068","24,768", - 
,"Upston, 
Louise","7,134","1,807","8,354","5,237", - ,"22,532","1,314"
,"Wagner, 
Nicky","7,134",900,"8,099","1,817", - ,"17,950", - 
,"van de Molen, Tim","7,134",858,"6,620","3,092", - ,"17,705", - 
,"Walker, 
Hamish","7,134",930,"8,514","4,942", - ,"21,520", - 
,"Willis, 
Nicola", - ,664,"7,413","1,400", - ,"9,478", - 
,"Woodhouse, Michael","7,134",880,"7,097","2,661", - ,"17,773", - 
,"Young, 
Jonathan","7,134",771,"7,042","4,659", - ,"19,606", - 
,"Yang, 
Jian","3,535",337,"6,466","4,095", - ,"14,434", - 
,"Yule, 
Lawrence","2,976",847,"7,938","3,805", - ,"15,566", - 
National Total,,"327,270","42,370","424,062","220,457","49,291","1,063,450","48,201"
,,,,,,,,,
New Zealand First,"Ball, 
Darroch","4,994","1,233","5,689","6,074", - ,"17,990", - 
,"Jones, 
Shane", - , - , - , - , - , - , - 
,"Marcroft, 
Jenny","4,281",875,"6,579","3,341", - ,"15,076","13,359"
,"Mark, 
Ron", - , - , - , - , - , - , - 
,"Martin, 
Tracey", - , - , - , - , - , - , - 
,"Mitchell, 
Clayton","4,994",777,"5,182","2,412", - ,"13,364", - 
,"Peters, 
Winston", - ,243, - , - , - ,243, - 
,"Patterson, 
Mark (4)","7,591",189,"10,274","9,660", - ,"27,715", - 
,"Tabuteau, Fletcher", - , - , - , - , - , - , - 
"New Zealand First 
Total",,"21,859","3,317","27,724","21,487", - ,"74,388","13,359"
,,,,,,,,,
Grand Total,,"490,296","61,233","651,369","325,654","49,782","1,578,334","138,622"
"1) The Speaker, Deputy Speaker, and Leader of the Opposition are eligible for VIP Transport services. This transport service is invoiced to the Parliamentary Service at a rate of $171 per hour and disclosed at this rate. VIP Transport for Ministers is charged at $68 per hour and disclosed at that rate.  The variable rates reflect Parliamentary Service's lower usage level and a different charging regime. ",,,,,,,,
,,,,,,,,,
"2) The surface travel disclosure for Simon Bridges includes $3,065 relating to prior quarters. This is due to delayed billing from VIP Transport Services (DIA)",,,,,,,,
3) Jami-Lee Ross was a member of the National Party for the period of the disclosure so has been included in Nationals return. ,,,,,,,,
4) Wellington Accommodation for Mark Patterson includes hotel charges relating to the prior disclosure period. In the current period the member receives the accomodation allowance. ,,,,,,,,
