Members Expense Disclosure -  October - December 2012,,,,,,,,,
,,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,,
,,Wellington,Non Wellington,Air,Surface,,,,
,Stewart Barbara," 3,617 ", -   ," 4,439 "," 3,809 "," 11,865 ", -   ,,
,Lole-Taylor Asenati," 3,913 ", 103 ," 9,349 "," 13,193 "," 26,558 ", -   ,,
,Williams Andrew," 2,088 ", 382 ," 4,961 "," 3,520 "," 10,951 ", -   ,,
New Zealand First Total,," 26,039 "," 1,633 "," 53,293 "," 38,790 "," 119,755 ", -   ,,
United Future, Dunne Peter , -   , -   ," 1,173 ", -   ," 1,173 ", -   ,,
United Future Total,, -   , -   ," 1,173 ", -   ," 1,173 ", -   ,,
Grand Total,," 315,822 "," 58,576 "," 749,398 "," 509,292 "," 1,633,088 "," 70,130 ",,
,,,,,,,,,
Note: The expenses declared for Brendan Horan for the months of October and November 2012 were incurred as a Member of,,,,,,,,,
New Zealand First. The expenses declared fro Brendan Horan for the month of December 2012 were incurred as an Independent,,,,,,,,,
Member of Parliament.,,,,,,,,,
