Members Expense Disclosure -  April - June 2013,,,,,,,,
,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,
,,Wellington,Non Wellington,Air,Surface,,,
, Bennett Paula , - , - , 336 , - , 336 , -   ,
, Blue Jackie ," 2,047 ", - ," 4,726 "," 3,790 "," 10,562 ", -   ,
, Borrows Chester , - , - ," 1,753 "," 3,544 "," 5,296 ", -   ,
, Bridges Simon , - , - ," 1,111 ", - ," 1,111 ", -   ,
, Brownlee Gerry , - , - ," 2,235 ", - ," 2,235 ", -   ,
, Calder Cam ," 4,664 ", 78 ," 6,151 "," 9,582 "," 20,476 ", -   ,
, Carter David ," 14,281 ", - ," 8,795 ", 100 ," 23,176 ", -   ,
, Coleman Jonathan , - , - , 826 , - , 826 , -   ,
, Collins Judith , - , - , 336 , - , 336 , -   ,
, Dean Jacqui ," 6,957 "," 1,332 "," 8,105 "," 16,341 "," 32,735 ", -   ,
, English Bill , - , - ," 2,070 ", - ," 2,070 ", -   ,
, Finlayson Chris , - , - , - , - , - , -   ,
, Foss Craig , - , - , - , - , - , -   ,
, Foster-Bell Paul , - , 117 , 158 , 288 , 563 , -   ,
, Gilmore Aaron ," 3,887 ", 296 ," 6,111 "," 3,392 "," 13,685 ", -   ,
, Goldsmith Paul ," 1,287 ", - ," 4,710 "," 3,476 "," 9,473 ", -   ,
, Goodhew Jo , - , - ," 1,096 "," 3,409 "," 4,505 ", -   ,
, Groser Tim , - , - , - , - , - , -   ,
, Guy Nathan , - , - , 914 , - , 914 , -   ,
, Hauiti Claudette ," 1,670 ", - ," 5,130 ", 818 ," 7,618 ", -   ,
, Hayes John ," 5,217 "," 1,529 "," 1,651 "," 13,906 "," 22,303 ", -   ,
, Heatley Philip ," 5,217 ", - ," 8,004 "," 5,240 "," 18,461 ", -   ,
, Henare Tau ," 3,478 ", 515 ," 11,823 "," 7,779 "," 23,595 ", -   ,
, Hutchison Paul ," 5,217 ", 504 ," 6,574 "," 13,340 "," 25,635 ", -   ,
, Joyce Steven , - , - , - , - , - , -   ,
, Kaye Nikki , - , - , 29 , - , 29 , -   ,
, Key John , - , - , 504 , - , 504 , -   ,
, King Colin ," 4,348 "," 1,074 "," 9,638 "," 6,917 "," 21,976 ", -   ,
, Lee Melissa ," 4,800 ", 80 ," 4,867 "," 5,552 "," 15,299 ", -   ,
, Lotu-liga Peseta Sam ," 5,217 ", 139 ," 6,485 "," 5,545 "," 17,386 ", -   ,
, Macindoe Tim ," 5,561 ", 137 ," 4,779 "," 4,008 "," 14,485 ", -   ,
, McClay Todd ," 3,252 ", 992 ," 6,517 "," 10,350 "," 21,112 ", -   ,
, McCully Murray , - , - , - , - , - , -   ,
