Members Expense Disclosure - January to March 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,,,,,,,,,,,,,,,,,,,,,,,
,,Wellington,Non Wellington,Air,Surface,,,,,,,,,,,,,,,,,,,,,,,,,
, Robertson Grant , -   , 604 ," 5,864 "," 1,359 "," 7,828 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Robertson Ross ," 3,043 ", -   ," 17,613 "," 6,637 "," 27,293 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Shearer David ," 1,948 ", -   ," 5,843 "," 3,943 "," 11,734 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Sio Su'a William ," 1,670 ", 130 ," 6,011 "," 3,917 "," 11,727 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Street Maryan , -   , 593 ," 8,732 "," 2,743 "," 12,068 "," 10,437 ",,,,,,,,,,,,,,,,,,,,,,,
, Tirikatene Rino , -   ," 1,068 "," 9,468 "," 5,364 "," 15,900 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Twyford Phil ," 2,643 ", 139 ," 6,417 "," 6,357 "," 15,556 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Wall Louisa ," 5,619 ", -   ," 6,973 "," 6,603 "," 19,194 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Whaitiri Meka ," 6,087 "," 1,249 "," 11,803 "," 5,352 "," 24,491 "," 12,792 ",,,,,,,,,,,,,,,,,,,,,,,
, Williams Poto ," 5,301 ", 419 ," 6,845 "," 2,498 "," 15,062 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Woods Megan ," 5,214 ", 747 ," 5,941 "," 2,237 "," 14,138 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
Labour Total,," 110,978 "," 16,513 "," 239,678 "," 159,230 "," 526,398 "," 35,197 ",,,,,,,,,,,,,,,,,,,,,,,
Mana, Harawira Hone ," 4,984 "," 2,438 "," 22,900 "," 14,081 "," 44,403 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
Mana Total,," 4,984 "," 2,438 "," 22,900 "," 14,081 "," 44,403 ",,,,,,,,,,,,,,,,,,,,,,,,
