Members' expense disclosure from 1 January 2012 to 31 March 2012,,,,,,,,,
"The expenses shown in the attached table were paid by the Parliamentary Service (air, surface travel, Wellington accommodation and non-Wellington accommodation) and the Office of the Clerk (inter-parliamentary travel) between  1 January 2012 to 31 March 2012.",,,,,,,,,
,,,,,,,,,
Party,Member,Accommodation,,Travel,,,Inter-Parliamentary Office of the Clerk,,
,,Wellington,Non Wellington,Air,Surface,Grand Total,,,
,  Bakshi Kanwaljit Singh  ," 3,096 ", -   ," 6,537 "," 2,682 "," 12,315 ", -   ,,
, Barry Maggie ," 1,809 ", 278 ," 9,154 "," 2,673 "," 13,914 ", -   ,,
,  Bennett David  ," 1,799 ", -   ," 3,788 "," 1,214 "," 6,800 ", -   ,,
,  Bennett Paula  , -   , -   , 424 , -   , 424 , -   ,,
,  Blue Jackie  ," 7,790 ", -   ," 10,147 "," 3,626 "," 21,563 ", -   ,,
,  Borrows Chester  , -   , -   , -   , 48 , 48 , -   ,,
,  Bridges Simon  ," 2,922 ", 397 ," 7,332 "," 3,964 "," 14,615 ", -   ,,
,  Brownlee Gerry  , -   , -   ," 1,170 ", -   ," 1,170 ", -   ,,
,  Calder Cam  ," 5,605 ", -   ," 7,063 "," 4,192 "," 16,859 ", -   ,,
,  Carter David  , -   , -   ," 3,843 ", -   ," 3,843 ", -   ,,
,  Coleman Jonathan  , -   , -   , 468 , -   , 468 , -   ,,
,  Collins Judith  , -   , -   ," 2,139 ", -   ," 2,139 ", -   ,,
,  Dean Jacqui  ," 5,217 ", 717 ," 5,884 "," 12,575 "," 24,394 ", -   ,,
,  English Bill  , -   , -   ," 2,647 ", -   ," 2,647 ", -   ,,
,  Finlayson Chris  , -   , -   , -   , -   , -   , -   ,,
,  Foss Craig  , -   , -   ," 1,430 ", -   ," 1,430 ", -   ,,
, Goldsmith Paul ," 1,398 ", 121 ," 6,348 "," 1,962 "," 9,829 ", -   ,,
,  Goodhew Jo  , -   , 252 ," 1,054 "," 2,304 "," 3,610 ", -   ,,
,  Groser Tim  , -   , -   , -   , -   , -   , -   ,,
,  Guy Nathan  , -   , -   , 703 , -   , 703 , -   ,,
,  Hayes John  ," 4,190 ", 387 ," 2,941 "," 7,793 "," 15,310 ", -   ,,
,  Heatley Philip  , -   , -   ," 2,242 ", 96 ," 2,338 ", -   ,,
,  Henare Tau  ," 5,332 ", 278 ," 7,630 "," 3,555 "," 16,795 ", -   ,,
,  Hutchison Paul  ," 6,203 ", -   ," 4,996 "," 7,007 "," 18,206 ", -   ,,
,  Joyce Steven  , -   , -   , 468 , -   , 468 , -   ,,
,  Kaye Nikki  ," 6,019 ", 261 ," 5,511 "," 6,868 "," 18,659 ", -   ,,
,  Key John  , -   , -   ," 1,856 ", -   ," 1,856 ", -   ,,
,  King Colin  ," 7,136 ", 826 ," 7,853 "," 4,553 "," 20,369 ", -   ,,
,  Lee Melissa  ," 6,135 ", 125 ," 4,819 "," 5,063 "," 16,142 ", -   ,,
,  Lotu-liga Peseta Sam  ," 8,000 ", -   ," 6,770 "," 3,931 "," 18,700 ", -   ,,
,  Macindoe Tim  ," 3,200 ", 137 ," 3,650 "," 2,604 "," 9,591 ", -   ,,
