Members Expense Disclosure - October - December 2013,,,,,,,,
,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,
,,Wellington,Non Wellington,Air,Surface,,,
, Bennett David ," 2,783 ", 712 ," 4,216 "," 5,129 "," 12,839 ", -   ,
, Bennett Paula , - , - ," 1,607 ", - ," 1,607 ", -   ,
, Borrows Chester , - , - ," 4,056 ", - ," 4,056 ", -   ,
, Bridges Simon , - , - ," 1,071 ", - ," 1,071 ", -   ,
, Brownlee Gerry , - , - ," 2,299 ", - ," 2,299 ", -   ,
, Calder Cam ," 4,535 ", 25 ," 6,615 "," 6,324 "," 17,499 ", -   ,
, Carter David ," 8,630 ", 559 ," 8,932 "," 10,408 "," 28,530 ","19,491",
, Coleman Jonathan , - , - , - , - , - , -   ,
, Collins Judith , - , - ," 1,644 ", - ," 1,644 ", -   ,
, Dean Jacqui ," 7,478 ", 278 ," 6,386 "," 9,476 "," 23,618 ", -   ,
, English Bill , - , - ," 5,229 ", - ," 5,229 ", -   ,
, Finlayson Chris , - , - , - , - , - , -   ,
, Foss Craig , - , - , 375 , - , 375 , -   ,
, Foster-Bell Paul , - ," 2,433 "," 7,328 "," 4,463 "," 14,224 ", -   ,
, Goldsmith Paul ," 5,130 ", - ," 5,764 "," 2,750 "," 13,644 ", -   ,
, Goodhew Jo , - , - ," 1,849 ", - ," 1,849 ", -   ,
, Groser Tim , - , - , 443 , - , 443 , -   ,
, Guy Nathan , - , - , 992 , - , 992 , -   ,
, Hauiti Claudette ," 4,569 "," 1,162 "," 10,585 "," 4,879 "," 21,195 ", -   ,
, Hayes John ," 5,217 ", 357 ," 2,698 "," 7,261 "," 15,533 ", -   ,
, Heatley Philip ," 5,217 ", - ," 9,654 "," 4,624 "," 19,495 ","9,644",
, Henare Tau ," 5,217 ", 261 ," 9,703 "," 6,321 "," 21,501 ", -   ,
, Hutchison Paul ," 5,217 ", - ," 8,774 "," 12,093 "," 26,084 ", -   ,
, Joyce Steven , - , - , - , - , - , -   ,
, Kaye Nikki , - , - , - , - , - , -   ,
, Key John , - , - , 407 , - , 407 , -   ,
, King Colin ," 5,565 ", 568 ," 12,887 "," 5,450 "," 24,470 ", -   ,
, Lee Melissa ," 4,800 ", 272 ," 6,175 "," 5,527 "," 16,775 ", -   ,
, Lotu-liga Peseta Sam ," 5,217 ", 139 ," 9,991 "," 4,499 "," 19,846 ", -   ,
, Macindoe Tim ," 3,941 ", - ," 5,385 "," 3,565 "," 12,891 ", -   ,
, McClay Todd , - , - ," 1,893 ", - ," 1,893 ", -   ,
, McCully Murray , - , - , - , - , - , -   ,
, McKelvie Ian ," 4,803 ", 489 ," 4,126 "," 6,158 "," 15,576 ", -   ,
, Mitchell Mark ," 2,609 ", 110 ," 6,463 "," 6,530 "," 15,712 ", -   ,
, Ngaro Alfred ," 8,000 ", 139 ," 7,513 "," 7,691 "," 23,342 ","2,135",
, O'Connor Simon ," 4,712 ", 413 ," 8,885 "," 4,361 "," 18,372 ", -   ,
, Parata Hekia , - , - , 822 , - , 822 , -   ,
, Ross Jami-Lee ," 5,180 ", - ," 3,279 "," 4,263 "," 12,721 ", -   ,
, Roy Eric ," 3,851 ", 129 ," 7,857 "," 1,865 "," 13,702 ", -   ,
, Ryall Tony , - , - ," 3,691 ", - ," 3,691 ", -   ,
, Sabin Mike ," 4,803 "," 1,612 "," 24,839 "," 7,355 "," 38,609 ", -   ,
, Shanks Katrina , - , 249 ," 5,559 "," 2,337 "," 8,145 ", -   ,
, Simpson Scott ," 2,609 ", 522 ," 3,194 "," 9,140 "," 15,465 ", -   ,
, Smith Nick , - , - ," 2,469 ", - ," 2,469 ", -   ,
, Tisch Lindsay ," 5,217 ", - ," 3,904 "," 7,178 "," 16,299 ", -   ,
, Tolley Anne , - , - ," 2,528 ", - ," 2,528 ", -   ,
, Tremain Chris , - , - , 888 , - , 888 , -   ,
, Upston Louise ," 5,425 "," 1,170 "," 9,435 "," 8,593 "," 24,623 ", -   ,
, Wagner Nicky ," 9,217 ", 295 ," 27,380 "," 4,669 "," 41,561 ", -   ,
, Wilkinson Kate , 835 , 139 ," 5,365 "," 7,211 "," 13,550 ", -   ,
, Williamson Maurice , - , - , - , - , - , -   ,
, Woodhouse Michael , - , - , 496 , - , 496 , -   ,
, Yang Jian ," 2,087 ", 139 ," 3,576 "," 6,071 "," 11,873 ", -   ,
, Young Jonathan ," 8,090 ", 135 ," 8,740 "," 6,848 "," 23,813 ", -   ,
National Total,," 157,859 "," 14,918 "," 312,537 "," 218,389 "," 703,702 ","31,270",
New Zealand First,Martin Tracey," 2,226 ", 696 ," 6,936 "," 5,271 "," 15,129 ","9,644",
,O'Rourke Denis," 4,803 ", - ," 2,044 "," 1,991 "," 8,838 ", -   ,
,Peters Winston," 1,948 ", 139 ," 13,080 "," 6,598 "," 21,765 ", -   ,
,Prosser Richard," 5,217 ", 470 ," 7,695 "," 6,203 "," 19,585 ", -   ,
,Stewart Barbara," 3,617 ", - ," 6,857 "," 6,358 "," 16,833 ", -   ,
,Lole-Taylor Asenati," 3,913 ", 278 ," 6,746 "," 7,476 "," 18,414 ","1,826",
,Williams Andrew," 2,226 ", 274 ," 5,427 "," 3,223 "," 11,150 ", -   ,
New Zealand First Total,," 23,951 "," 1,856 "," 48,784 "," 37,122 "," 111,713 ","11,470",
United Future, Dunne Peter , - , 157 ," 6,098 "," 3,324 "," 9,579 ", -   ,
United Future Total,, - , 157 ," 6,098 "," 3,324 "," 9,579 ", -   ,
Grand Total,," 339,052 "," 67,027 "," 834,469 "," 520,883 "," 1,761,431 ","85,787",
