Members Expense Disclosure -  January - March 2013,,,,,,,,,,
,,,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,,,
,,Wellington,Non Wellington,Air,Surface,,,,,
,  Bakshi Kanwaljit Singh  ," 5,087 ", 343 ," 7,933 "," 11,609 "," 24,973 ", -   ,,,
, Barry Maggie ," 3,043 ", - ," 8,081 "," 2,782 "," 13,907 ", -   ,,,
,  Bennett David  ," 1,809 ", - ," 3,687 "," 1,595 "," 7,090 ", -   ,,,
,  Bennett Paula  , - , - , 668 , - , 668 , -   ,,,
,  Blue Jackie  ," 5,443 ", 113 ," 5,661 "," 3,181 "," 14,399 "," 1,625 ",,,
,  Borrows Chester  , - , - , 389 , - , 389 , -   ,,,
,  Bridges Simon  , - , - ," 1,045 ", - ," 1,045 ", -   ,,,
,  Brownlee Gerry  , - , - ," 1,678 ", - ," 1,678 ", -   ,,,
,  Calder Cam  ," 4,952 ", 226 ," 3,958 "," 4,411 "," 13,548 ", -   ,,,
,  Carter David  , - , - ," 9,345 ", 35 ," 9,380 ", -   ,,,
,  Coleman Jonathan  , - , - , - , - , - , -   ,,,
,  Collins Judith  , - , - ," 1,224 ", - ," 1,224 ", -   ,,,
,  Dean Jacqui  ," 5,217 ", 361 ," 7,397 "," 5,661 "," 18,637 ", -   ,,,
,  English Bill  , - , - ," 1,833 ", - ," 1,833 ", -   ,,,
,  Finlayson Chris  , - , - , - , - , - , -   ,,,
,  Foss Craig  , - , - , 346 , - , 346 , -   ,,,
, Gilmore Aaron , 420 , - ," 3,543 ", 684 ," 4,648 ", -   ,,,
, Goldsmith Paul , 689 , - ," 6,222 "," 2,676 "," 9,588 ", -   ,,,
,  Goodhew Jo  , - , - , 537 ," 2,096 "," 2,633 ", -   ,,,
,  Groser Tim  , - , - , 222 , - , 222 , -   ,,,
,  Guy Nathan  , - , - ," 1,204 ", - ," 1,204 ", -   ,,,
,  Hayes John  ," 5,217 ", 217 , 715 ," 3,785 "," 9,934 ", -   ,,,
,  Heatley Philip  ," 3,933 ", 139 ," 10,984 "," 3,112 "," 18,168 ", -   ,,,
,  Henare Tau  ," 5,217 ", 417 ," 5,421 "," 3,400 "," 14,456 "," 9,244 ",,,
,  Hutchison Paul  ," 5,217 ", 239 ," 5,485 "," 12,145 "," 23,086 ", -   ,,,
,  Joyce Steven  , - , - , - , - , - , -   ,,,
,  Kaye Nikki  ," 1,530 ", - ," 2,107 "," 2,571 "," 6,208 ", -   ,,,
,  Key John  , - , - , 954 , - , 954 , -   ,,,
,  King Colin  ," 5,783 "," 1,126 "," 10,201 "," 5,351 "," 22,461 ", -   ,,,
,  Lee Melissa  ," 5,600 ", - ," 5,281 "," 5,885 "," 16,766 ", -   ,,,
