Members Expense Disclosure - 1 April to 30 June 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,,,,,,,,,,,,,,,,,,,,,,,
,,Wellington,Non Wellington,Air,Surface,,,,,,,,,,,,,,,,,,,,,,,,,
, Prasad Rajen ," 5,174 ", -   ," 7,954 "," 13,742 "," 26,870 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Robertson Grant , -   ," 1,161 "," 7,945 ", 924 ," 10,030 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Robertson Ross ," 2,609 ", 130 ," 7,444 "," 12,811 "," 22,994 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Shearer David ," 2,783 ", -   ," 5,516 "," 8,107 "," 16,406 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Sio Su'a William ," 2,365 ", 139 ," 10,222 "," 8,368 "," 21,095 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Street Maryan , -   , 290 ," 14,064 "," 5,114 "," 19,467 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Tirikatene Rino , -   ," 2,156 "," 10,589 "," 8,042 "," 20,787 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Twyford Phil ," 3,339 ", 546 ," 7,632 "," 7,801 "," 19,317 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Wall Louisa ," 4,816 ", 86 ," 9,306 "," 5,142 "," 19,350 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Whaitiri Meka ," 5,217 "," 1,882 "," 17,920 "," 7,694 "," 32,713 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Williams Poto ," 5,940 ", 303 ," 11,589 "," 4,641 "," 22,472 ", -   ,,,,,,,,,,,,,,,,,,,,,,,
, Woods Megan ," 5,206 ", 409 ," 7,523 "," 6,047 "," 19,184 ",,,,,,,,,,,,,,,,,,,,,,,,
Labour Total,," 110,219 "," 28,178 "," 332,448 "," 254,263 "," 725,108 ","1,140 ",,,,,,,,,,,,,,,,,,,,,,,
