Members Expense Disclosure - July to September 2015,,,,,,,,,,
,,,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter Parliamentary - Office of the Clerk,,,
,,Wellington,Non Wellington,Air,Surface,,,,,
,,,,,,,,,,
, Brownlee Gerry , - , - ," 3,749 ", - ," 3,749 ", -   ,,,
, Carter David ," 9,593 ", - ," 7,657 ", - ," 17,250 "," 25,528 ",,,
, Coleman Jonathan , - , - , - , - , - , -   ,,,
, Collins Judith ," 6,551 ", - ," 5,969 "," 4,134 "," 16,654 ", -   ,,,
, Dean Jacqui ," 6,551 "," 1,011 "," 8,233 "," 5,785 "," 21,581 ", -   ,,,
, Doocey Matt ," 3,139 ", 548 ," 8,866 "," 2,727 "," 15,280 ", -   ,,,
, Dowie Sarah ," 4,586 ", 691 ," 13,632 "," 3,562 "," 22,471 ", -   ,,,
, English Bill , - , - ," 1,731 ", - ," 1,731 ", -   ,,,
, Finlayson Chris , - , - , - , - , - , -   ,,,
, Foss Craig , - , - , 548 , - , 548 , -   ,,,
, Foster-Bell Paul , - ," 2,204 "," 6,542 "," 4,402 "," 13,149 ", -   ,,,
, Goldsmith Paul , - , - , - , - , - , -   ,,,
, Goodhew Jo , - , - , 725 , - , 725 , -   ,,,
, Groser Tim , - , - , - , - , - , -   ,,,
, Guy Nathan , - , - , 571 , - , 571 , -   ,,,
, Hayes Joanne ," 6,551 "," 1,189 "," 10,276 "," 5,167 "," 23,183 ", -   ,,,
, Hudson Brett , - , 738 ," 3,002 "," 1,525 "," 5,265 ", -   ,,,
, Joyce Steven , - , - , - , - , - , -   ,,,
, Kaye Nikki , - , - , - , - , - , -   ,,,
, Key John , - , - , 242 , - , 242 , -   ,,,
, Korako Nuk , - , 967 ," 9,265 "," 4,805 "," 15,038 ", -   ,,,
, Kuriger Barbara ," 4,586 ", 769 ," 6,468 "," 3,480 "," 15,303 ", -   ,,,
, Lee Melissa ," 6,551 ", - ," 6,326 "," 4,698 "," 17,575 ", -   ,,,
, Lotu-liga Peseta Sam , - , - ," 1,798 ", - ," 1,798 ", -   ,,,
, Macindoe Tim ," 6,439 ", 634 ," 11,110 "," 1,847 "," 20,029 ", -   ,,,
, McClay Todd , - , - , 861 , - , 861 , -   ,,,
, McCully Murray , - , - , - , - , - , -   ,,,
, McKelvie Ian ," 6,551 ", 930 ," 3,801 "," 2,653 "," 13,935 ", -   ,,,
, Mitchell Mark ," 6,551 ", 390 ," 9,427 "," 11,230 "," 27,598 ", -   ,,,
, Muller Todd ," 6,551 ", 432 ," 9,896 "," 4,591 "," 21,470 ", -   ,,,
, Naylor Jono ," 6,551 ", 183 ," 4,773 "," 1,792 "," 13,298 ", -   ,,,
, Ngaro Alfred ," 6,551 ", 142 ," 6,926 "," 10,856 "," 24,476 ", -   ,,,
, O'Connor Simon ," 6,551 ", - ," 5,830 "," 4,396 "," 16,778 ", -   ,,,
, Parata Hekia , - , - , 368 , - , 368 , -   ,,,
, Parmar Parmjeet ," 6,551 ", 351 ," 4,849 "," 3,409 "," 15,160 ", -   ,,,
, Reti Shane ," 6,551 ", 893 ," 8,677 "," 3,557 "," 19,678 ", -   ,,,
, Ross Jami-Lee ," 4,586 ", 164 ," 12,539 "," 3,077 "," 20,366 ", -   ,,,
, Scott Alastair , - , 287 ," 2,437 "," 3,193 "," 5,917 ", -   ,,,
, Smith Stuart ," 6,551 ", 797 ," 8,966 "," 5,949 "," 22,263 ", -   ,,,
, Smith Nick , - , - ," 5,646 ", - ," 5,646 ", -   ,,,
, Simpson Scott ," 4,586 ", 465 ," 3,455 "," 5,270 "," 13,775 ", -   ,,,
, Tisch Lindsay , - , 585 ," 5,802 "," 5,210 "," 11,596 ", -   ,,,
, Tolley Anne , - , - ," 1,152 ", - ," 1,152 ", -   ,,,
, Upston Louise , - , - ," 2,322 ", - ," 2,322 ", -   ,,,
, Wagner Nicky , - , - ," 2,009 ", - ," 2,009 ", -   ,,,
, Williamson Maurice ," 6,551 ", - ," 4,247 "," 3,492 "," 14,290 ", -   ,,,
, Woodhouse Michael , - , - ," 2,277 ", - ," 2,277 ", -   ,,,
, Yang Jian ," 3,470 ", 417 ," 5,978 "," 6,652 "," 16,516 ", -   ,,,
, Young Jonathan ," 6,551 ", 673 ," 8,088 "," 4,541 "," 19,852 ", -   ,,,
National Total,," 171,670 "," 20,651 "," 264,110 "," 148,276 "," 604,707 "," 29,526 ",,,
,,,,,,,,,,
New Zealand First,Ball Darroch," 3,664 ", 280 ," 5,773 "," 1,259 "," 10,977 ", -   ,,,
,Bindra Mahesh," 6,766 ", 507 ," 5,186 "," 2,480 "," 14,939 ", -   ,,,
,Bond Ria," 2,277 "," 1,278 "," 17,687 "," 1,096 "," 22,337 ", -   ,,,
,Mark Ron," 6,295 ", - ," 4,780 "," 5,848 "," 16,923 ", -   ,,,
,Martin Tracey," 4,103 ", 447 ," 3,685 "," 6,488 "," 14,723 ", -   ,,,
,Mitchell Clayton," 4,586 ", 301 ," 7,040 "," 1,946 "," 13,872 ", -   ,,,
,O'Rourke Denis," 6,551 ", 501 ," 3,899 "," 1,702 "," 12,653 ", -   ,,,
,Paraone Pita," 6,551 ", 391 ," 8,453 "," 2,229 "," 17,625 ", -   ,,,
,Peters Winston," 6,551 ", 165 ," 5,922 "," 7,413 "," 20,051 ", -   ,,,
,Prosser Richard," 6,551 ", 455 ," 7,220 "," 4,548 "," 18,774 ", -   ,,,
,Stewart Barbara," 4,939 ", - ," 4,724 "," 8,556 "," 18,219 ", -   ,,,
,Tabuteau Fletcher," 4,586 ", 295 ," 6,076 "," 2,661 "," 13,618 ", -   ,,,
New Zealand First Total,," 63,420 "," 4,622 "," 80,442 "," 46,226 "," 194,710 ", -   ,,,
,,,,,,,,,,
United Future, Dunne Peter , - , - , 372 , - , 372 , -   ,,,
United Future Total,, - , - , 372 , - , 372 , -   ,,,
,,,,,,,,,,
Grand Total,," 416,599 "," 68,795 "," 736,743 "," 354,161 "," 1,576,299 "," 35,446 ",,,
