Members Expense Disclosure - January to March 2017,,,,,,,,
,,,,,,,,
Party,Member,Accommodation,,Travel,,Subtotal Parliamentary Service,Inter parliamentary - Office of the Clerk,
,,Wellington,Non Wellington,Air,Surface,,,
,,,,,,,,
," Carter, David "," 9,436 ", - ," 5,863 "," 1,082 "," 16,381 "," 35,302 ",
," Coleman, Jonathan ", - , - , - , - , - , - ,
," Collins, Judith ", - , - , 840 , - , 840 , - ,
," Dean, Jacqui ", - , 165 , 398 , 157 , 720 , - ,
," Doocey, Matt "," 2,478 ", 419 ," 4,304 "," 7,014 "," 14,216 ", - ,
," Dowie, Sarah "," 4,511 ", 291 ," 3,928 "," 3,135 "," 11,865 "," 1,649 ",
," English, Bill ", - , - ," 1,513 ", - ," 1,513 ", - ,
," Finlayson, Chris ", - , - , - , - , - , - ,
," Foss, Craig "," 6,444 ", - ," 3,119 "," 1,115 "," 10,678 ", - ,
," Foster-Bell, Paul ", - , 822 ," 2,308 "," 6,452 "," 9,582 "," 1,099 ",
," Goldsmith, Paul ", - , - , 671 , - , 671 , - ,
," Goodhew, Jo "," 6,444 ", 461 ," 3,942 "," 3,611 "," 14,457 ", - ,
," Guy, Nathan ", - , - ," 2,446 ", - ," 2,446 ", - ,
," Hayes, Joanne "," 6,444 ", 546 ," 5,277 "," 6,255 "," 18,522 ", - ,
," Hudson, Brett ", - , 137 , 677 ," 2,193 "," 3,007 ", - ,
," Joyce, Steven ", - , - , - , - , - , - ,
," Kaye, Nikki ", - , - , - , - , - , - ,
," Key, John ", 330 , - ," 2,172 ", 466 ," 2,969 ", - ,
," Korako, Nuk "," 6,444 ", 514 ," 7,907 "," 6,220 "," 21,084 ", - ,
," Kuriger, Barbara "," 4,511 "," 1,224 "," 3,725 "," 6,284 "," 15,745 ", - ,
," Lee, Melissa "," 6,444 ", 505 ," 3,966 "," 5,046 "," 15,960 "," 13,057 ",
," Lotu-liga, Peseta Sam "," 6,444 ", - ," 11,649 "," 1,267 "," 19,360 ", - ,
," Macindoe, Tim "," 3,304 ", - ," 5,081 "," 2,611 "," 10,996 ", - ,
," McClay, Todd ", - , - , 319 , - , 319 , - ,
," McCully, Murray ", - , - , - , - , - , - ,
," McKelvie, Ian "," 6,444 ", 300 ," 2,660 "," 6,621 "," 16,024 ", - ,
," Mitchell, Mark ", - , 152 , 612 ," 2,240 "," 3,004 ", - ,
," Muller, Todd "," 4,511 ", 565 ," 6,008 "," 4,036 "," 15,121 ", - ,
," Naylor, Jono "," 6,444 ", 612 ," 4,903 "," 1,803 "," 13,762 "," 1,400 ",
," Ngaro, Alfred ", - , - ," 1,074 ", 199 ," 1,273 ", - ,
," O'Connor, Simon "," 6,444 ", - ," 4,275 "," 4,190 "," 14,908 ", - ,
," Parata, Hekia ", - , - , 551 , - , 551 , - ,
," Parmar, Parmjeet "," 6,444 ", - ," 3,770 "," 1,206 "," 11,419 "," 4,602 ",
