Members Expense Disclosure -  July - September 2013,,,,,,,,
,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,
, Dean Jacqui ," 3,478 ", 891 ," 5,719 "," 5,871 "," 15,959 ","8,323",
, English Bill , - , - ," 4,083 ", - ," 4,083 ", -   ,
, Finlayson Chris , - , - , - , - , - , -   ,
, Foss Craig , - , - , 769 , - , 769 , -   ,
, Foster-Bell Paul , - ," 1,777 "," 3,074 "," 2,608 "," 7,459 ", -   ,
, Goldsmith Paul ," 1,172 ", 628 ," 12,407 "," 3,527 "," 17,735 ", -   ,
, Goodhew Jo , - , - ," 2,492 ", - ," 2,492 ", -   ,
, Groser Tim , - , - , - , - , - , -   ,
, Guy Nathan , - , - ," 1,463 ", - ," 1,463 ", -   ,
, Hauiti Claudette ," 5,609 ", 876 ," 8,097 "," 4,100 "," 18,681 ", -   ,
, Hayes John ," 5,217 ", 278 ," 1,659 "," 4,318 "," 11,473 ","1,767",
, Heatley Philip ," 5,217 ", 435 ," 14,210 "," 3,658 "," 23,520 ", -   ,
, Henare Tau ," 5,217 ", 278 ," 8,458 "," 6,314 "," 20,267 ", -   ,
, Hutchison Paul ," 5,217 ", 278 ," 8,127 "," 9,021 "," 22,643 ","1,657",
, Joyce Steven , - , - , 471 , - , 471 , -   ,
, Kaye Nikki , - , - , - , - , - , -   ,
, Key John , - , - ," 1,104 ", - ," 1,104 ", -   ,
, King Colin ," 5,783 ", 122 ," 10,151 "," 4,890 "," 20,946 ", -   ,
, Lee Melissa ," 5,600 ", 278 ," 15,550 "," 4,427 "," 25,855 ", -   ,
, Lotu-liga Peseta Sam ," 5,217 ", 278 ," 8,695 "," 6,263 "," 20,453 ", -   ,
, Macindoe Tim ," 6,356 ", 278 ," 5,707 "," 2,977 "," 15,319 ", -   ,
, McClay Todd , - , - ," 2,644 ", - ," 2,644 ", -   ,
, McCully Murray , - , - , - , - , - , -   ,
, McKelvie Ian ," 5,603 ", 413 ," 1,544 "," 3,415 "," 10,974 ", -   ,
, Mitchell Mark ," 3,043 ", 417 ," 10,331 "," 6,395 "," 20,187 ", -   ,
, Ngaro Alfred ," 3,061 ", 139 ," 5,666 "," 4,756 "," 13,622 ", -   ,
, O'Connor Simon ," 5,426 ", 278 ," 6,974 "," 4,847 "," 17,526 ", -   ,
, Parata Hekia , - , - ," 1,638 ", - ," 1,638 ", -   ,
, Ross Jami-Lee ," 5,009 ", 499 ," 6,030 "," 2,845 "," 14,384 ", -   ,
, Roy Eric ," 4,361 ", 797 ," 6,743 "," 2,949 "," 14,850 ","8,820",
, Ryall Tony , - , - ," 2,636 ", - ," 2,636 ", -   ,
, Sabin Mike ," 5,603 "," 1,290 "," 18,125 "," 6,429 "," 31,447 ", -   ,
, Shanks Katrina , - , 261 ," 1,950 "," 2,139 "," 4,351 ", -   ,
, Simpson Scott ," 3,043 ", 442 ," 5,608 "," 6,851 "," 15,945 ", -   ,
, Smith Nick , - , - ," 2,812 ", - ," 2,812 ", -   ,
, Tisch Lindsay ," 5,217 ", 654 ," 6,052 "," 5,249 "," 17,172 ", -   ,
, Tolley Anne , - , - ," 1,178 ", - ," 1,178 ", -   ,
, Tremain Chris , - , - , 545 , - , 545 , -   ,
, Upston Louise ," 5,967 "," 1,898 "," 17,522 "," 6,293 "," 31,679 ", -   ,
, Wagner Nicky , - , 937 ," 10,244 "," 2,841 "," 14,021 ", -   ,
, Wilkinson Kate ," 2,504 ", 278 ," 3,953 "," 2,908 "," 9,643 ", -   ,
, Williamson Maurice , - , - , 648 , - , 648 , -   ,
, Woodhouse Michael , - , - ," 2,887 ", - ," 2,887 ", -   ,
, Yang Jian ," 3,061 ", 278 ," 10,220 "," 5,490 "," 19,049 ", -   ,
, Young Jonathan ," 3,078 ", 565 ," 7,405 "," 4,019 "," 15,067 ", -   ,
National Total,," 145,750 "," 18,134 "," 323,220 "," 163,132 "," 650,235 ","20,567",
New Zealand First,Martin Tracey," 3,757 ", 447 ," 5,156 "," 3,955 "," 13,314 ", -   ,
,O'Rourke Denis," 5,603 ", 139 ," 4,149 "," 2,847 "," 12,739 ", -   ,
,Peters Winston," 1,948 ", 278 ," 10,620 "," 6,926 "," 19,771 ","1,767",
,Prosser Richard," 5,478 ", 313 ," 9,046 "," 3,424 "," 18,261 ", -   ,
,Stewart Barbara," 3,896 ", 278 ," 4,810 "," 3,751 "," 12,735 ", -   ,
,Lole-Taylor Asenati," 4,565 ", 117 ," 6,660 "," 7,479 "," 18,822 ", -   ,
,Williams Andrew," 3,200 ", 270 ," 5,236 "," 2,417 "," 11,122 ", -   ,
New Zealand First Total,," 28,447 "," 1,842 "," 45,678 "," 30,798 "," 106,765 ","1,767",
United Future, Dunne Peter , - , 440 ," 6,567 "," 3,696 "," 10,703 ", -   ,
United Future Total,, - , 440 ," 6,567 "," 3,696 "," 10,703 ", -   ,
Grand Total,," 343,456 "," 57,246 "," 862,086 "," 432,963 "," 1,695,751 ","44,528",
