Members Expense Disclosure -  July - September 2013,,,,,,,,
,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,
,,Wellington,Non Wellington,Air,Surface,,,
Act, Banks John , -   , -   , -   , -   , -   , -   ,
Act Total,, -   , -   , -   , -   , -   , -   ,
Green, Browning Steffan ," 5,600 "," 1,505 "," 8,397 "," 3,416 "," 18,918 ","8,298",
, Clendon David ," 5,531 "," 1,035 "," 11,330 "," 4,139 "," 22,035 ", -   ,
, Delahunty Catherine ," 5,478 ", 385 ," 6,070 "," 1,935 "," 13,868 ", -   ,
, Genter Julie-Anne ," 4,555 ", 813 ," 7,049 "," 2,028 "," 14,446 ", -   ,
, Graham Kennedy ," 5,760 ", 872 ," 9,495 "," 1,726 "," 17,853 ","1,657",
, Hague Kevin ," 5,899 "," 1,019 "," 12,306 "," 2,641 "," 21,865 ", -   ,
, Hughes Gareth , - ," 1,218 "," 7,900 "," 3,926 "," 13,044 ", -   ,
, Logie Jan , - , 646 ," 2,326 "," 1,915 "," 4,888 ", -   ,
, Mathers Mojo ," 5,356 ", - ," 8,036 "," 2,729 "," 16,121 ", -   ,
, Norman Russel , - , 565 ," 4,762 "," 2,740 "," 8,067 ", -   ,
, Roche Denise ," 6,209 ", 686 ," 10,955 "," 6,732 "," 24,581 ", -   ,
, Sage Eugenie ," 3,043 ", 574 ," 6,833 "," 1,693 "," 12,144 ", -   ,
, Turei Metiria ," 4,617 "," 1,205 "," 9,596 "," 5,033 "," 20,452 ", -   ,
, Walker Holly , - , 407 ," 2,223 "," 2,229 "," 4,859 ", -   ,
Green Total,," 52,049 "," 10,932 "," 107,278 "," 42,882 "," 213,141 ","9,955",
Independent, Horan Brendan ," 2,087 "," 1,437 "," 7,157 "," 5,854 "," 16,535 ", -   ,
Independent Total,," 2,087 "," 1,437 "," 7,157 "," 5,854 "," 16,535 ", -   ,
Labour, Ardern Jacinda ," 4,240 ", 230 ," 8,115 "," 4,011 "," 16,596 ","1,767",
, Beaumont Carol ," 3,013 ", 616 ," 15,586 "," 4,110 "," 23,324 ", -   ,
, Clark David ," 1,948 ", 419 ," 10,275 "," 3,705 "," 16,347 ", -   ,
, Cosgrove Clayton ," 5,603 ", 251 ," 15,041 "," 7,664 "," 28,559 ", -   ,
, Cunliffe David ," 6,000 ", 112 ," 14,071 "," 4,682 "," 24,865 ", -   ,
, Curran Clare ," 3,957 ", 329 ," 8,000 "," 4,102 "," 16,387 ", -   ,
, Dalziel Lianne ," 5,217 ", 565 ," 9,840 "," 3,907 "," 19,529 ", -   ,
, Dyson Ruth ," 4,748 ", 381 ," 9,369 "," 2,981 "," 17,478 ", -   ,
, Faafoi Kris , - , 765 ," 3,733 "," 6,269 "," 10,768 ", -   ,
, Fenton Darien ," 3,478 ", 494 ," 9,368 "," 4,503 "," 17,843 ", -   ,
, Goff Phil ," 3,652 ", 112 ," 7,967 "," 7,265 "," 18,997 ","1,767",
, Hipkins Chris , - ," 1,150 "," 5,623 "," 4,291 "," 11,064 ", -   ,
, Huo Raymond ," 1,870 ", 112 ," 5,281 "," 5,788 "," 13,051 ", -   ,
, Jones Shane ," 2,504 "," 1,457 "," 21,184 "," 3,507 "," 28,652 ", -   ,
, King Annette , - , 652 ," 5,313 "," 3,368 "," 9,333 ", -   ,
, Lees-Galloway Iain ," 3,264 ", 903 ," 4,961 "," 2,218 "," 11,346 ", -   ,
, Little Andrew , - , 372 ," 10,893 "," 5,068 "," 16,333 ", -   ,
, Mackey Moana ," 4,991 "," 3,070 "," 9,569 "," 5,514 "," 23,144 ",514,
, Mahuta Nanaia ," 3,478 "," 1,271 "," 11,073 "," 6,054 "," 21,876 ", -   ,
, Mallard Trevor , - , 103 ," 10,291 "," 3,212 "," 13,607 ", -   ,
, Moroney Sue ," 5,603 ", 745 ," 10,408 "," 1,897 "," 18,653 ", -   ,
, O'Connor Damien ," 5,600 ", 664 ," 12,534 "," 9,714 "," 28,513 ", -   ,
, Parker David ," 5,600 ", 126 ," 11,525 "," 5,152 "," 22,404 ", -   ,
, Prasad Rajen ," 5,522 ", 78 ," 5,311 "," 3,585 "," 14,496 ", -   ,
, Robertson Grant , - , 817 ," 8,737 ", 964 ," 10,518 ", -   ,
, Robertson Ross ," 3,043 ", 103 ," 5,802 "," 9,476 "," 18,425 ", -   ,
, Shearer David ," 2,783 ", - ," 8,492 "," 7,054 "," 18,328 ", -   ,
, Sio Su'a William ," 1,948 ", 134 ," 9,245 "," 7,004 "," 18,330 ", -   ,
, Street Maryan , - , 767 ," 10,842 "," 3,292 "," 14,900 ", -   ,
, Tirikatene Rino , - ," 1,252 "," 11,050 "," 5,731 "," 18,033 ", -   ,
, Twyford Phil ," 2,365 ", 103 ," 9,767 "," 6,261 "," 18,498 ", -   ,
, Wall Louisa ," 5,619 ", 616 ," 10,780 "," 4,274 "," 21,289 ", -   ,
, Whaitiri Meka ," 3,322 ", 778 ," 12,192 "," 3,068 "," 19,361 ", -   ,
, Woods Megan ," 5,214 ", 520 ," 9,188 "," 3,218 "," 18,140 ","8,191",
Labour Total,," 104,583 "," 20,068 "," 331,425 "," 162,911 "," 618,988 ","12,239",
Mana, Harawira Hone ," 4,292 "," 2,892 "," 23,580 "," 13,973 "," 44,737 ", -   ,
Mana Total,," 4,292 "," 2,892 "," 23,580 "," 13,973 "," 44,737 ", -   ,
Maori, Flavell Te Ururoa ," 6,248 "," 1,502 "," 14,015 "," 9,717 "," 31,482 ", -   ,
, Sharples Pita , - , - ," 1,852 ", - ," 1,852 ", -   ,
, Turia Tariana , - , - ," 1,314 ", - ," 1,314 ", -   ,
Maori Total,," 6,248 "," 1,502 "," 17,181 "," 9,717 "," 34,648 ", -   ,
National, Adams Amy , - , - ," 1,458 ", - ," 1,458 ", -   ,
, Ardern Shane ," 5,217 ", - ," 8,942 "," 2,436 "," 16,596 ", -   ,
, Auchinvole Chris ," 5,478 ", - ," 13,466 "," 1,643 "," 20,587 ", -   ,
, Bakshi Kanwaljit Singh ," 5,113 ", 139 ," 7,069 "," 5,880 "," 18,201 ", -   ,
, Barry Maggie ," 3,043 ", 545 ," 7,654 "," 4,337 "," 15,581 ", -   ,
, Bennett David ," 2,713 ", 887 ," 5,413 "," 2,739 "," 11,752 ", -   ,
, Bennett Paula , - , - , 374 , - , 374 , -   ,
, Borrows Chester , - , - ," 1,612 ", - ," 1,612 ", -   ,
, Bridges Simon , - , - ," 1,975 ", - ," 1,975 ", -   ,
, Brownlee Gerry , - , - ," 4,357 ", - ," 4,357 ", -   ,
, Calder Cam ," 5,053 ", 530 ," 10,411 "," 4,831 "," 20,825 ", -   ,
, Carter David ," 10,069 ", 488 ," 11,648 "," 15,864 "," 38,068 ", -   ,
, Coleman Jonathan , - , - ," 2,026 ", - ," 2,026 ", -   ,
, Collins Judith , - , - ," 1,225 ", - ," 1,225 ", -   ,
