Members Expense Disclosure - January to March 2016,,,,,,,,
,,,,,,,,
Party,Member,Accommodation,,Travel,,Subtotal  Parliamentary  Service,Inter Parliamentary - Office of the Clerk,
,,Wellington,Non Wellington,Air,Surface,,,
,,,,,,,,
,"  Borrows, Chester  "," 9,436 ", 243 ," 5,743 "," 4,482 "," 19,904 ", - ,
,"  Bridges, Simon  ", - , - , 907 , - , 907 , - ,
,"  Brownlee, Gerry  ", - , - ," 3,818 ", - ," 3,818 ", - ,
,"  Carter, David  "," 9,436 ", - ," 5,768 "," 5,824 "," 21,027 "," 18,553 ",
,"  Coleman, Jonathan  ", - , - , 720 , - , 720 , - ,
,"  Collins, Judith (1) ", - , 130 , 213 ," 4,807 "," 5,150 ", - ,
,"  Dean, Jacqui  "," 6,444 ", 817 ," 7,196 "," 6,292 "," 20,749 ", - ,
,"  Doocey, Matt  "," 1,487 ", 148 ," 4,677 "," 2,986 "," 9,298 ", - ,
,"  Dowie, Sarah  "," 4,511 ", 478 ," 7,145 ", 533 ," 12,667 ","1,441",
,"  English, Bill  ", - , - , 453 , - , 453 , - ,
,"  Finlayson, Chris  ", - , - , - , - , - , - ,
,"  Foss, Craig  ", - , - , 918 , - , 918 , - ,
,"  Foster-Bell, Paul  ", - , 129 ," 6,974 "," 5,573 "," 12,676 ", - ,
,"  Goldsmith, Paul  ", - , - ," 1,356 ", - ," 1,356 ", - ,
,"  Goodhew, Jo  ", - , - , 353 , - , 353 , - ,
,"  Guy, Nathan  ", - , - ," 1,182 ", - ," 1,182 ", - ,
,"  Hayes, Joanne  "," 6,444 ", 669 ," 6,094 "," 5,752 "," 18,959 ", - ,
,"  Hudson, Brett  ", - , - ," 1,419 "," 1,051 "," 2,470 ","1,441",
,"  Joyce, Steven  ", - , - , 801 , - , 801 , - ,
,"  Kaye, Nikki  ", - , - , - , - , - , - ,
,"  Key, John  ", - , - , 273 , - , 273 , - ,
,"  Korako, Nuk "," 6,444 ", 802 ," 8,362 "," 8,376 "," 23,984 ", - ,
,"  Kuriger, Barbara  "," 4,511 ", 259 ," 4,828 "," 5,391 "," 14,989 ", - ,
,"  Lee, Melissa  "," 6,444 ", 160 ," 4,434 "," 3,988 "," 15,026 ", - ,
,"  Lotu-liga, Peseta Sam  ", - , - ," 1,288 ", - ," 1,288 ", - ,
,"  Macindoe, Tim  "," 2,313 ", 278 ," 3,644 "," 1,216 "," 7,451 ", - ,
,"  McClay, Todd  ", - , - ," 1,530 ", - ," 1,530 ", - ,
,"  McCully, Murray  ", - , - , - , - , - , - ,
,"  McKelvie, Ian  "," 6,444 ", 274 ," 2,502 "," 4,705 "," 13,925 ", - ,
,"  Mitchell, Mark  "," 6,444 ", 741 ," 3,569 "," 2,888 "," 13,642 ", - ,
,"  Muller, Todd  "," 4,511 ", 611 ," 7,853 "," 2,454 "," 15,429 ", - ,
,"  Naylor, Jono  "," 6,444 ", 291 ," 6,011 "," 2,865 "," 15,611 ", - ,
,"  Ngaro, Alfred  "," 6,444 ", - ," 5,596 "," 1,679 "," 13,719 ", - ,
,"  O'Connor, Simon  "," 6,444 ", 152 ," 3,288 "," 3,794 "," 13,678 ", - ,
,"  Parata, Hekia  ", - , - ," 1,037 ", - ," 1,037 ", - ,
,"  Parmar, Parmjeet  "," 6,444 ", - ," 4,935 "," 2,034 "," 13,412 ", - ,
,"  Pugh, Maureen  ", - ," 1,196 "," 5,359 "," 2,703 "," 9,258 ", - ,
,"  Reti, Shane  "," 6,444 ", 878 ," 3,843 "," 5,506 "," 16,671 ", - ,
,"  Ross, Jami-Lee  "," 4,511 ", - ," 3,325 "," 5,910 "," 13,746 ", - ,
,"  Scott, Alastair  ", - , 122 , 463 , 319 , 903 , - ,
,"  Smith, Stuart  "," 6,444 "," 1,353 "," 7,367 "," 5,243 "," 20,406 ", - ,
,"  Smith, Nick  ", - , - ," 1,449 ", - ," 1,449 ", - ,
,"  Simpson, Scott  "," 4,511 "," 1,573 "," 3,080 "," 3,335 "," 12,499 ", - ,
,"  Tisch, Lindsay  ", - , 226 ," 4,348 "," 4,971 "," 9,544 ","12,972",
,"  Tolley, Anne  ", - , - , - , - , - , - ,
,"  Upston, Louise  ", - , - , 714 , - , 714 , - ,
,"  Wagner, Nicky  ", - , - ," 2,182 ", - ," 2,182 ", - ,
,"  Williamson, Maurice  "," 6,444 ", - ," 3,641 "," 3,971 "," 14,055 ", - ,
,"  Woodhouse, Michael  ", - , - ," 1,728 ", - ," 1,728 ", - ,
,"  Yang, Jian  "," 2,478 ", 168 ," 2,639 "," 4,064 "," 9,349 ", - ,
,"  Young, Jonathan  "," 6,444 ", 673 ," 4,975 "," 5,215 "," 17,306 ", - ,
National Total,," 158,404 "," 13,364 "," 196,349 "," 133,702 "," 501,820 "," 46,123 ",
,,,,,,,,
New Zealand First,"Ball, Darroch"," 7,600 ", 291 ," 7,015 "," 1,636 "," 16,542 ", - ,
,"Bindra, Mahesh"," 4,511 ", 247 ," 3,522 "," 3,948 "," 12,227 ", - ,
,"Bond, Ria", 329 ," 2,894 "," 10,580 "," 2,482 "," 16,284 ", - ,
,"Mark, Ron"," 6,444 ", 946 ," 1,914 "," 6,485 "," 15,789 ", - ,
,"Martin, Tracey"," 4,848 ", - ," 3,502 "," 5,592 "," 13,942 ","11,766",
,"Mitchell, Clayton"," 4,511 ", 750 ," 8,628 "," 3,134 "," 17,022 ", - ,
,"O'Rourke, Denis"," 6,444 ", 165 ," 3,502 "," 2,108 "," 12,220 ", - ,
,"Paraone, Pita"," 6,444 ", 191 ," 6,220 "," 1,516 "," 14,371 ", - ,
,"Peters, Winston"," 6,444 ", 130 ," 3,514 "," 6,154 "," 16,243 ", - ,
,"Prosser, Richard"," 6,444 ", 296 ," 5,963 "," 2,268 "," 14,970 ","12,983",
,"Stewart, Barbara"," 6,444 ", - ," 3,542 "," 2,307 "," 12,293 ", - ,
,"Tabuteau, Fletcher"," 4,511 ", 290 ," 5,592 "," 3,531 "," 13,923 ", - ,
New Zealand First Total,," 64,972 "," 6,201 "," 63,493 "," 41,161 "," 175,826 "," 24,749 ",
,,,,,,,,
United Future," Dunne, Peter ", - , - , - , - , - , - ,
United Future Total,, - , - , - , - , - , - ,
,,,,,,,,
Grand Total,," 407,332 "," 65,445 "," 569,331 "," 358,016 "," 1,400,124 ","104,396",
,,,,,,,,
(1),Non-Wellington Accommodation and Surface Travel costs relate to the period prior to Hon Collins being a member of the Executive. They are disclosed in the current quarter due to the timing of transactions being processed.,,,,,,,
,,,,,,,,
,,,,,,,,
