Members Expense Disclosure - October to December 2016,,,,,,,,
,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter parliamentary - Office of the Clerk,
,,Wellington,Non Wellington,Air,Surface,,,
,,,,,,, -   ,
, Coleman Jonathan , - , - , 390 , - , 390 , - ,
, Collins Judith , - , - ," 1,115 ", - ," 1,115 ", - ,
, Dean Jacqui ," 7,058 "," 1,304 "," 6,953 "," 12,415 "," 27,730 ", - ,
, Doocey Matt ," 2,313 ", - ," 7,154 "," 4,790 "," 14,257 ","11,526 ",
, Dowie Sarah ," 5,262 ", 277 ," 5,178 "," 3,207 "," 13,925 ", - ,
, English Bill , - , - ," 1,350 ", - ," 1,350 ", - ,
, Finlayson Chris , - , - , - , - , - , - ,
, Foss Craig , 384 , - , - , - , 384 , - ,
, Foster-Bell Paul , - ," 1,289 "," 3,330 "," 6,846 "," 11,464 ","11,131 ",
, Goldsmith Paul , - , - ," 1,521 ", - ," 1,521 ", - ,
, Goodhew Jo , 384 , - , - , - , 384 , - ,
, Guy Nathan , - , - , - , - , - , - ,
, Hayes Joanne ," 7,518 "," 1,923 "," 7,611 "," 6,055 "," 23,107 ", - ,
, Hudson Brett , - , 109 ," 3,402 "," 1,774 "," 5,285 ", - ,
, Joyce Steven , - , - , - , - , - , - ,
, Kaye Nikki , - , - , - , - , - , - ,
, Key John , - , - , 974 , - , 974 , - ,
, Korako Nuk ," 7,518 ", 190 ," 8,910 "," 3,034 "," 19,652 ","1,761 ",
, Kuriger Barbara ," 5,262 "," 1,455 "," 4,905 "," 5,793 "," 17,415 ", - ,
, Lee Melissa ," 7,518 ", 303 ," 6,897 "," 6,715 "," 21,433 ", - ,
, Lotu-liga Peseta Sam , 384 , - ," 1,292 ", - ," 1,676 ", - ,
, Macindoe Tim ," 3,965 ", - ," 4,050 "," 2,600 "," 10,615 ", - ,
, McClay Todd , - , - ," 2,410 ", - ," 2,410 ", - ,
, McCully Murray , - , - , - , - , - , - ,
, McKelvie Ian ," 7,518 ", 504 ," 3,232 "," 6,106 "," 17,360 ","7,350 ",
, Mitchell Mark ," 7,058 ", - ," 6,952 "," 7,468 "," 21,478 ", - ,
, Muller Todd ," 5,262 ", 982 ," 7,024 "," 4,850 "," 18,118 ", - ,
, Naylor Jono ," 7,518 ", - ," 6,368 "," 3,126 "," 17,012 ", - ,
, Ngaro Alfred ," 7,058 ", - ," 7,238 "," 5,638 "," 19,933 ","12,637 ",
, O'Connor Simon ," 7,518 ", 117 ," 3,946 "," 3,635 "," 15,215 ", - ,
, Parata Hekia , - , - , - , - , - , - ,
, Parmar Parmjeet ," 7,518 ", - ," 4,602 "," 3,637 "," 15,757 ", - ,
, Pugh Maureen ," 7,518 ", 712 ," 5,558 "," 4,481 "," 18,268 ", - ,
, Reti Shane ," 7,518 "," 1,447 "," 8,145 "," 5,385 "," 22,495 ", - ,
, Ross Jami-Lee ," 5,262 ", - ," 5,129 "," 4,806 "," 15,197 ", - ,
, Scott Alastair , - , 283 ," 3,613 "," 2,668 "," 6,564 ", - ,
, Smith Stuart ," 7,631 "," 1,316 "," 19,904 "," 7,413 "," 36,264 ", - ,
, Smith Nick , - , - ," 1,761 ", - ," 1,761 ", - ,
, Simpson Scott ," 5,262 "," 1,567 "," 6,272 "," 5,103 "," 18,204 ","11,125 ",
, Tisch Lindsay , - , 160 ," 5,107 "," 6,034 "," 11,301 ", - ,
, Tolley Anne , - , - , 436 , - , 436 , - ,
, Upston Louise , - , - ," 4,480 ", - ," 4,480 ", - ,
, Wagner Nicky , - , - ," 1,087 ", - ," 1,087 ", - ,
, Williamson Maurice ," 5,370 ", - ," 15,747 "," 3,101 "," 24,218 ", - ,
, Woodhouse Michael , - , - ," 3,157 ", - ," 3,157 ", - ,
, Yang Jian ," 3,470 ", - ," 4,278 "," 4,305 "," 12,053 ", - ,
, Young Jonathan ," 7,518 ", 281 ," 6,691 "," 4,885 "," 19,375 ", - ,
National Total,," 194,436 "," 16,474 "," 240,415 "," 176,382 "," 627,707 ","68,642 ",
,,,,,,, - ,
New Zealand First,Ball Darroch," 5,452 ", 329 ," 6,832 "," 4,734 "," 17,346 ", - ,
,Bindra Mahesh," 7,518 ", 0 ," 5,469 "," 6,524 "," 19,512 ", - ,
,Bond Ria," 5,174 ", 900 ," 9,746 "," 3,198 "," 19,017 ", - ,
,Mark Ron," 7,518 "," 1,123 "," 1,147 "," 11,865 "," 21,652 ", - ,
